"metal plate, bucket, and pipe"("metal plate, bucket, and pipe","placa metálica, cubo y tubo",5379)
2 bags(2 bags,2 bolsas)
2 bottles(2 bottles,2 botellas)
2 gauges(2 gauges,2 indicadores)
2 pipes(2 pipes,2 tubos)
2 small barrels(2 small barrels,2 barriles pequeños)
2 tools(2 tools,2 herramientas)
2 vases(2 vases,2 jarrones)
2 windmills(2 windmills,2 molinos)
2 wooden boxes and 2 vases(2 wooden boxes and 2 vases,2 cajas de madera y 2 jarrones)
2 wooden boxes(2 wooden boxes,2 cajas de madera)
2 worktables(2 worktables,2 mesas de trabajo)
3 bags(3 bags,3 bolsas)
3 bags(3 bags,tres bolsas)
3 barrels(3 barrels,3 barriles)
3 big gauges(3 big gauges,3 indicadores grandes)
3 bottles(3 bottles,3 botellas)
3 small vases(3 small vases,3 jarrones pequeños)
3 vases(3 vases,3 jarrones)
3 vases(3 vases,tres jarrones)
4 pipes(4 pipes,4 tubos)
4 pistons(4 pistons,4 pistones)
5 gauges(5 gauges,5 indicadores)
6 gauges(6 gauges,6 indicadores)
Eat-Yeet roots(Eat-Yeet roots,raíces de devorayit)
Head Doctor's safe(Head Doctor's safe,caja fuerte del médico jefe)
Land Shark(Land Shark,Terraburón)
Land Shark(Land Shark,terraburón)
adjustable bed(adjustable bed,cama regulable)
anchor(anchor,ancla)
ancient machinery(ancient machinery,maquinaria ancestral)
ancient working machinery(ancient working machinery,maquinaria ancestral en condiciones)
apple(apple,manzana)
arch frame(arch frame,arcada)
arch frame(arch frame,arco de hierro)
armor(armor,armadura)
armory(armory,armería)
assembly machine(assembly machine,ensambladora)
attic(attic,ático)
axe(axe,hacha)
back of the painting(back of the painting,envés del cuadro)
back of the pipe(back of the pipe,extremo del tubo)
backpack(backpack,mochila)
bag and small objects(bag and small objects,bolsa y objetos pequeños)
bag and treasure chest(bag and treasure chest,bolsa y cofre del tesoro)
bag of fertilizer(bag of fertilizer,saco de fertilizante)
bag under the post(bag under the post,bolsa bajo el poste)
bag(bag,bolsa)
barn(barn,granero)
barnacle(barnacle,percebe)
barrel inside of the fence(barrel inside of the fence,barril detrás de la valla)
barrel(barrel,barril)
basket(basket,cesta)
bathtub(bathtub,bañera)
bed(bed,cama)
bell rope(bell rope,cuerda de campana)
bell(bell,campana)
bench(bench,banco)
big block of wood(big block of wood,gran bloque de madera)
big box(big box,caja grande)
big drawer(big drawer,cajón grande)
big machine(big machine,máquina grande)
big rock(big rock,roca grande)
big shield(big shield,escudo grande)
big weapon(big weapon,arma grande)
birdcage(birdcage,pajarera)
black shield(black shield,escudo negro)
blanket(blanket,manta)
blunt weapon(blunt weapon,arma contundente)
board(board,tablón)
bolt(bolt,tornillo)
bones(bones,huesos)
bonfire(bonfire,hoguera)
book inside the box(book inside the box,libro dentro de la caja)
book on the shelf(book on the shelf,libro en el estante)
book(book,libro)
bookend(bookend,sujetalibros)
bookshelf(bookshelf,estantería)
bottle(bottle,botella)
box on the wall(box on the wall,caja en la pared)
box(box,caja)
bread(bread,pan)
bridge post(bridge post,poste del puente)
broad-leafed plant(broad-leafed plant,planta de hojas grandes)
broken cylinder case(broken cylinder case,funda cilíndrica rota)
broken door(broken door,puerta rota)
broken fence(broken fence,valla rota)
broken ladder(broken ladder,escalera rota)
broken lamp(broken lamp,lámpara rota)
broken machinery(broken machinery,maquinaria averiada)
broken machinery(broken machinery,máquina averiada)
broken part(broken part,pieza rota)
broken parts(broken parts,piezas rotas)
broken robot(broken robot,robot averiado)
broken roof(broken roof,techo roto)
broken roof(broken roof,tejado roto)
broken trap(broken trap,trampa averiada)
broken trap(broken trap,trampa rota)
broken tree(broken tree,árbol destrozado)
broken well(broken well,pozo inservible)
broken window(broken window,ventana rota)
broken-down house(broken-down house,casa derruida)
broken-down machine(broken-down machine,máquina desmantelada)
broom(broom,escoba)
brush(brush,cepillo)
bucket and barrel(bucket and barrel,cubo y barril)
bucket(bucket,cubo)
bulletin board(bulletin board,tablón de anuncios)
bunk bed(bunk bed,litera)
bush(bush,arbusto)
cabinet(cabinet,armario)
cable connector(cable connector,conector de cables)
cable(cable,cable)
cactus(cactus,cactus)
cake(cake,pastel)
campfire(campfire,fogata)
can(can,lata)
candle(candle,vela)
candlestick(candlestick,candelabro)
canoe(canoe,canoa)
carafe(carafe,garrafa)
cart(cart,carro)
cartridge case(cartridge case,caja de cartuchos)
cash register(cash register,caja registradora)
cast-off shell of some creature(cast-off shell of some creature,caparazón desechado)
ceiling decoration(ceiling decoration,decoración de techo)
central machine(central machine,máquina central)
chair(chair,silla)
cheese shelf(cheese shelf,estantería de quesos)
cheese(cheese,queso)
cleaning tools(cleaning tools,material de limpieza)
clock(clock,reloj)
cloth(cloth,tela)
club(club,garrote)
cockpit(cockpit,cabina)
collapsed table(collapsed table,mesa rota)
comforter(comforter,edredón)
container(container,contenedor)
control panel(control panel,panel de mando)
cooking range(cooking range,cocina)
cooking table(cooking table,mesa de cocina)
cooking utensil(cooking utensil,utensilio de cocina)
coral(coral,coral)
cord(cord,cordón)
corner of the water fountain(corner of the water fountain,esquina de la fuente)
corner(corner,esquina)
counter-top box(counter-top box,caja de encimera)
countertop(countertop,encimera)
coupling(coupling,acoplamiento)
cracked wood(cracked wood,madera agrietada)
cracked wood(cracked wood,madera astillada)
cracked wooden box(cracked wooden box,caja de madera astillada)
crater(crater,cráter)
creel(creel,nasa)
crop(crop,cosecha)
crystal(crystal,cristal)
cup(cup,taza)
cupboard(cupboard,armario)
curtain(curtain,cortina)
cushion on the chair(cushion on the chair,cojín de la silla)
cushion(cushion,cojín)
cutting board and vase(cutting board and vase,tabla de picar y jarrón)
cutting board(cutting board,tabla de picar)
cylinder case(cylinder case,funda cilíndrica)
cylinder(cylinder,cilindro)
cylindrical box(cylindrical box,estuche cilíndrico)
dead tree(dead tree,árbol marchito)
debris(debris,desechos)
decorated tree(decorated tree,árbol decorado)
decorated vase(decorated vase,jarrón decorado)
decoration in the center(decoration in the center,adorno en el centro)
decoration(decoration,decoración)
desk(desk,escritorio)
device(device,dispositivo)
dishcloth(dishcloth,trapo)
door(door,puerta)
drawer and memo board(drawer and memo board,cajón y tablón de notas)
drawer(drawer,cajón)
dresser(dresser,cómoda)
dressing table(dressing table,tocador)
dried fish(dried fish,pescado seco)
drink(drink,bebida)
drum and wooden box(drum and wooden box,tambor y caja de madera)
drying rack(drying rack,tendedero)
duct(duct,conducto)
dustpan(dustpan,recogedor)
egg(egg,huevo)
elbow pipe(elbow pipe,tubo acodado)
emblem(emblem,emblema)
empty can(empty can,lata vacía)
entrance post(entrance post,poste de entrada)
entrance(entrance,entrada)
examination table(examination table,camilla )
exhibit(exhibit,exposición)
fallen monitor(fallen monitor,monitor caído)
fallen tree(fallen tree,árbol caído)
farming tool(farming tool,aparejo de labranza)
fence(fence,valla)
field(field,campo)
fire alarm(fire alarm,alarma contra incendios)
fireplace tools(fireplace tools,herramientas para chimenea)
fireplace(fireplace,chimenea)
firewood box(firewood box,caja de leña)
firewood hatchet(firewood hatchet,hacha de leña)
firewood(firewood,leña)
fish(fish,pescado)
fishing rod(fishing rod,caña de pescar)
flagpole(flagpole,asta)
flower basket(flower basket,cesta de flores)
flower stand(flower stand,florero)
flower(flower,flor)
flowerbed in the center(flowerbed in the center,arriate en el centro)
flowerbed(flowerbed,arriate)
flowerpot above the shelf(flowerpot above the shelf,maceta en el estante)
flowerpot(flowerpot,maceta)
folding bed(folding bed,cama plegable)
food(food,comida)
fruit tree(fruit tree,árbol frutal)
fruit(fruit,fruta)
furniture(furniture,mueble)
gap between the machines(gap between the machines,hueco entre las máquinas)
gap(gap,hueco)
gate(gate,portón)
gathered pebbles(gathered pebbles,montón de guijarros)
gauge and control panel(gauge and control panel,indicador y panel de mando)
glass case(glass case,funda de cristal)
glowing floor(glowing floor,suelo fulgente)
glowing machine(glowing machine,máquina fulgente)
glowing object(glowing object,objeto fulgente)
glowing panel(glowing panel,panel fulgente)
glowing red plant(glowing red plant,planta roja fulgente)
glowing sap(glowing sap,savia fulgente)
goods(goods,mercancías)
grass(grass,hierba)
grate(grate,rejilla)
grave(grave,tumba)
green shield(green shield,escudo verde)
guitar(guitar,guitarra)
hammer and worktable(hammer and worktable,martillo y mesa de trabajo)
hammer(hammer,martillo)
hanger rack(hanger rack,perchero)
harpoon(harpoon,arpón)
hatchet(hatchet,hachuela)
helmet and bag(helmet and bag,casco y bolsa)
helmet(helmet,casco)
hole in the ground(hole in the ground,orificio en el suelo)
hole in the tree(hole in the tree,orificio en el árbol)
hole in the wall(hole in the wall,orificio en la pared)
hole(hole,orificio)
hollow(hollow,hoyo)
home's window(home's window,ventana de casa)
horn(horn,cuerno)
hose on the floor(hose on the floor,manguera en el suelo)
hose(hose,manguera)
house's window(house's window,ventana de la casa)
houseplant(houseplant,planta de interior)
huge bullet(huge bullet,bala enorme)
huge mace(huge mace,maza enorme)
huge trident(huge trident,tridente enorme)
ice mound(ice mound,montón de hielo)
inside of a dead tree(inside of a dead tree,interior de árbol marchito)
instrument(instrument,instrumento)
iron frame(iron frame,estructura de hierro)
iron plate and wooden box(iron plate and wooden box,placa de hierro y caja de madera)
iron plate(iron plate,placa de hierro)
kebab(kebab,pincho moruno)
kiln(kiln,horno)
kitchen counter(kitchen counter,encimera)
kitchen utensils(kitchen utensils,utensilios de cocina)
kitchen(kitchen,cocina)
knife(knife,cuchillo)
ladder(ladder,escalera)
ladle(ladle,cazo)
lamp(lamp,lámpara)
